"ID","Branch","First Name","Last Name","Status","Assigned To","Created Date","Follow-Up Date","Last Modified by & Date","Interested In","Phone","Email","Marketer","Relationship to Patient","Patient First Name","Patient Last Name","Patient Phone","Patient Email","Lost Reason","Note","Is Personal Evaulated","Case Type","Lead Source","Created From","Follow-Up Note"
"697","Branch #2","Yetta","Rose","Opened","","Demo User - 08/10/2022 11:49 PM","08/15/1980 12:00 AM - 08/15/1980 12:00 AM","Demo User - 08/10/2022 11:55 PM","Dolor voluptas sint","(343) 434-3434","gocexej@mailinator.com","","Friend","Yetta","Rose","(343) 434-3434","gocexej@mailinator.com","","Reiciendis saepe tem","No","Case Offer","Account - Account ","Manual","Quae rerum nulla ven"
"485","Chennai Branch","ghghj","ghjgjhg","Opened","","Demo User - 07/03/2022 10:47 PM","","","","(000) 000-0000","","","","","","","","","","No","","Contact -   ","Manual",""
"481","Dev Agency, Inc","Test","Test","Opened","Demo User","Demo User - 06/27/2022 06:58 PM","","","","(132) 123-1231","","","","","","","","","","No","","Contact -   ","Manual",""
"442","Branch #176","56345ret","345","Opened","","Demo User - 05/09/2022 09:36 PM","","Demo User - 05/20/2022 01:33 AM","","(345) 345-3454","","","","","","","","","","","","Account - Kessie Carver ","Manual",""
"437","Dev Agency, Inc","Test","Lead","Opened","Demo User","Demo User - 04/25/2022 05:50 PM","","","","(987) 789-7987","","","","","","","","","","No","","Walk-in -  ","Manual",""
"430","Dev Agency, Inc","Test","Lead","Opened","Demo User","Demo User - 04/19/2022 11:19 PM","","","","(544) 564-6545","","","","","","","","","","No","","Provider - Travel_Time ","Manual",""
"428","Dev Agency, Inc","et","ert","Opened","Demo User","Demo User - 04/19/2022 11:13 PM","","","","(453) 453-4535","","","","","","","","","","No","","Family / Friend - 34 ","Manual",""
"400","Xanthus Carson","ewe","ew","Opened","","Demo User - 03/15/2022 09:17 PM","","Demo User - 03/17/2022 12:13 AM","","(312) 312-3123","","","","","","","","","","","","Walk-in -  ","Manual",""
"385","Dev Agency, Inc","Kaitlin","safs","Opened","Demo User","Demo User - 02/25/2022 07:13 PM","","","","(414) 314-2314","","","","","","","","","","No","","Campaign - Yated Front page ad ","Manual",""
"369","Dev Agency, Inc","Lead","Add #1","Opened","Demo User","Demo User - 02/24/2022 11:29 PM","","Demo User - 02/24/2022 11:36 PM","","(123) 123-2131","","","","","","","","","","","","Account - Account name ","Manual",""
"358","Dev Agency, Inc","Test","Lead","Opened","Demo User","Demo User - 01/25/2022 12:02 AM","","02/24/2022 11:18 PM","","(123) 123-1231","","Demo User","","","","","","","","No","","Event - Sd ","Manual",""
"343","Dev Agency, Inc","","TEST Contact LN","Opened","","Test Webhook - #12242021 (Webhook) - 12/24/2021 12:18 AM","","02/24/2022 11:18 PM","","(984) 224-8146","jesima@mercu.io","Demo User","","","","","","","","No","","Campaign -  ","Webhook",""
"297","Dev Agency, Inc","Lakshmi Test","P","Opened","Vignesh Rajan","Test August (Webhook) - 08/12/2021 03:22 AM","09/15/2021 04:59 PM - 09/15/2021 04:59 PM","Demo User - 02/24/2022 11:18 PM","Staff Track","(770) 848-8423","lakshmi@mercu.io","John Doe","","Lakshmi Test","P","(770) 848-8423","lakshmi@mercu.io","","a:1:{s:3:""dob"";s:10:""10/22/1995"";}","","","Campaign - Test Campaign ","Webhook",""
"296","Dev Agency, Inc","Lakshmi 4","P","Opened","Demo User","Test August (Webhook) - 08/11/2021 02:25 AM","","02/24/2022 11:18 PM","","(770) 848-8423","lakshmi@mercu.io","John Doe","","Lakshmi 4","P","(770) 848-8423","lakshmi@mercu.io","","a:1:{s:3:""dob"";s:10:""10/22/1995"";}","No",""," ","Webhook",""
"295","Dev Agency, Inc","Lakshmi 3","P","Opened","QA 20","Test August (Webhook) - 08/11/2021 02:24 AM","09/29/2021 05:04 PM - 09/29/2021 05:04 PM","Demo User - 02/24/2022 11:18 PM","","(770) 848-8423","lakshmi@mercu.io","","","Lakshmi 3","P","(770) 848-8423","lakshmi@mercu.io","","","",""," ","Webhook",""
"290","Dev Agency, Inc","Odessa","Gamble","Opened","Test User","Demo User - 08/03/2021 11:49 PM","08/16/2021 04:19 PM - 08/16/2021 04:19 PM","Test User - 02/24/2022 11:18 PM","","(134) 124-3124","wyqenaki@mailinator.com","","Family","Phoebe","Mathews","(431) 243-1243","roxyzan@mailinator.com","","Enim harum vel quia","","HMO to MLTC Transfer","Campaign - Advertise campaign ","Manual","Repellendus Reprehe"
"288","Dev Agency, Inc","","","Opened","Test User","Test August (Webhook) - 08/04/2021 01:23 AM","","02/24/2022 11:18 PM","","","","Demo User","","","","","","","","No",""," ","Webhook",""
"287","Dev Agency, Inc","","","Opened","Test User","Test August (Webhook) - 08/04/2021 01:03 AM","","02/24/2022 11:18 PM","","","","Demo User","","","","","","","","No",""," ","Webhook",""
"286","Dev Agency, Inc","Test","Lead","Opened","","Test August (Webhook) - 08/04/2021 01:02 AM","","Demo User - 02/24/2022 11:18 PM","","(254) 235-4235","qa0020sakthi@gmail.com","","","Test","Lead","(254) 235-4235","qa0020sakthi@gmail.com","","","","","Campaign - Test Campaign new webhook ","Webhook",""
